手机名称,价格(￥),运行内存,电池容量,机身颜色,前置摄像头像素,后置摄像头像素,url
三星Galaxy S9+,6999.00,128GB,3000mAh-3999mAh,"谜夜黑,夕雾紫,莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/6577495.html
三星Galaxy S9,6099.00,128GB,3000mAh-3999mAh,"谜夜黑,夕雾紫,莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/6577477.html
三星Galaxy S8,4999.00,64GB,3000mAh-3999mAh,"谜夜黑,烟晶灰,雾屿蓝,芭比粉,勃艮第红,绮梦金",800万-1599万,1200万-1999万,https://item.jd.com/4120319.html
三星Galaxy S9+,6699.00,64GB,3000mAh-3999mAh,"谜夜黑,夕雾紫",800万-1599万,1200万-1999万,https://item.jd.com/6405876.html
三星Galaxy S9,5799.00,64GB,3000mAh-3999mAh,"谜夜黑,夕雾紫",800万-1599万,1200万-1999万,https://item.jd.com/6405896.html
三星Galaxy S8+,5499.00,64GB,3000mAh-3999mAh,"谜夜黑,烟晶灰,雾屿蓝,芭比粉,勃艮第红,绮梦金",800万-1599万,1200万-1999万,https://item.jd.com/4938584.html
三星Galaxy Note8,7388.00,128GB,3000mAh-3999mAh,"谜夜黑,旷野灰,星河蓝,芭比粉",800万-1599万,1200万-1999万,https://item.jd.com/5438529.html
三星Galaxy C8,1999.00,64GB,3000mAh-3999mAh,"墨玉黑,枫叶金,蔷薇粉",1600万及以上,1200万-1999万,https://item.jd.com/4934619.html
三星领世旗舰8,13999.00,64GB,2000mAh-2999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/5353306.html
三星W2016,9888.00,3GB,2000mAh-2999mAh,N/A,N/A,1200万-1999万,https://item.jd.com/2348849.html
三星Galaxy C9 pro,2199.00,64GB,4000mAh-5999mAh,"枫叶金,墨玉黑,蔷薇粉",1600万及以上,1200万-1999万,https://item.jd.com/3479619.html
三星Galaxy Note8,6988.00,64GB,3000mAh-3999mAh,"谜夜黑,旷野灰,星河蓝",800万-1599万,1200万-1999万,https://item.jd.com/4934609.html
三星Galaxy C5（SM-C5000）,1399.00,32GB,2000mAh-2999mAh,"金,银,粉,灰",800万-1599万,1200万-1999万,https://item.jd.com/2895136.html
三星Galaxy Note8,7988.00,256GB,3000mAh-3999mAh,"谜夜黑,旷野灰",800万-1599万,1200万-1999万,https://item.jd.com/4934649.html
三星GalaxyFolder2,1699.00,16GB,1200mAh-1999mAh,"黑色,碧玺红,金色",500万-799万,500万-1199万,https://item.jd.com/5272045.html
三星Galaxy S8+,6299.00,128GB,3000mAh-3999mAh,"谜夜黑,烟晶灰,勃艮第红",800万-1599万,1200万-1999万,https://item.jd.com/4938578.html
三星Galaxy S8,4999.00,64GB,2000mAh-2999mAh,黑色系,800万-1599万,1200万-1999万,https://item.jd.com/4938580.html
三星Galaxy S9,5799.00,64GB,3000mAh-3999mAh,紫色系,800万-1599万,1200万-1999万,https://item.jd.com/6614640.html
三星Galaxy S9+,6699.00,64GB,3000mAh-3999mAh,"谜夜黑,夕雾紫",800万-1599万,1200万-1999万,https://item.jd.com/6828161.html
三星Galaxy S9+,6999.00,128GB,3000mAh-3999mAh,"谜夜黑,夕雾紫,莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/6614620.html
三星Galaxy S9,6099.00,128GB,3000mAh-3999mAh,"谜夜黑,夕雾紫,莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/6614622.html
三星OTG,159.90,N/A,N/A,"时尚金属（USB3.0),迷你车载（USB3.0),商务新贵（蓝色）Type-C,高瑞商务（黑色）Type-C,Duo安卓手机U盘,轻巧便捷（USB3.0),专属定制（USB3.0),定制款手机U盘,三合一多功能U盘-银色,手机U盘高端大气-银色,手机U盘高端大气-金色",N/A,N/A,https://item.jd.com/1925769.html
三星Tab A,1899.00,N/A,N/A,"9.6英寸 8G【WIFI版】白色,9.6英寸 8G【WIFI版】金棕色,8.0英寸 32G【WIFI版】银色,8.0英寸 32G【WIFI版】金色,8.0英寸 32G【WIFI版】黑色,8.0英寸【通话版】银色（2017）,8.0英寸【通话版】金色（2017）,8.0英寸【通话版】黑色（2017）,10.1英寸 16G【WIFI版】黑色,10.1英寸 16G【通话版】白色,10.1英寸 16G【通话版】黑色",N/A,N/A,https://item.jd.com/5542468.html
三星手机U盘  OTG,39.90,N/A,N/A,"铂光金,雪晶银",N/A,N/A,https://item.jd.com/4791018.html
三星EF-ZG935CBEGCN,288.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/2455678.html
三星XG955,298.00,N/A,N/A,"黑色,蓝色,粉色,薄荷色",N/A,N/A,https://item.jd.com/5050230.html
三星BHM1950,109.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/1267853.html
三星ZN950,328.00,N/A,N/A,"黑色,深灰色,深蓝色",N/A,N/A,https://item.jd.com/5004275.html
三星N9500,298.00,N/A,N/A,"黑色,紫色,蓝色",N/A,N/A,https://item.jd.com/5569433.html
三星XN950,298.00,N/A,N/A,"黑色,深灰色",N/A,N/A,https://item.jd.com/5004255.html
三星XG950,198.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/5050248.html
三星ET-CG930,999.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/3153436.html
三星EE-MG950TBCGCN,899.00,N/A,N/A,"折叠式便携充电器黑色,手机扩展坞（手机连接电脑）",N/A,N/A,https://item.jd.com/4220309.html
三星TF,149.90,N/A,N/A,"TF卡32GB 升级版+,TF卡64GB 升级版+,TF卡128GB 升级版+,TF卡256GB 升级版+,TF卡32GB 升级版,TF卡64GB 升级版,TF卡128GB 升级版,TF卡32GB 专业版+支持4K,SD卡64GB 专业版+支持4K",N/A,N/A,https://item.jd.com/4083885.html
三星TF,75.90,N/A,N/A,"TF卡32GB 升级版+,TF卡64GB 升级版+,TF卡128GB 升级版+,TF卡256GB 升级版+,TF卡32GB 升级版,TF卡64GB 升级版,TF卡128GB 升级版,TF卡32GB 专业版+支持4K,SD卡64GB 专业版+支持4K",N/A,N/A,https://item.jd.com/4083889.html
三星TF,699.00,N/A,N/A,"TF卡32GB 升级版+,TF卡64GB 升级版+,TF卡128GB 升级版+,TF卡256GB 升级版+,TF卡32GB 升级版,TF卡64GB 升级版,TF卡128GB 升级版,TF卡32GB 专业版+支持4K,SD卡64GB 专业版+支持4K",N/A,N/A,https://item.jd.com/4083883.html
三星CV-SS-UB2115W,29.00,N/A,N/A,"Micro 2.0快充手机数据线 1m,Micro 2.0 快充手机数据线 1.5m,Type-C快充手机数据线 1.5m 黑,Type-C快充手机数据线 1m,Type-C快充手机数据线 1.5m,USB 3.0手机数据线 1m,Mini2.0接口手机数据线 1m,HDMI数字高清线 3m,2.0转Type-c转接头",N/A,N/A,https://item.jd.com/3139975.html
三星EO-BG920BBEGCN,259.00,N/A,N/A,"level u流光金（运动音乐）,level u雅墨黑（运动音乐）,level u幻影白（运动音乐）,level u Pro雅墨黑（升级版）,level u Pro流光金（升级版）,弹力项圈雅墨黑（柔性可弯曲）,弹力项圈魅力蓝（柔性可弯曲）,弹力项圈幻影白（柔性可弯曲）",N/A,N/A,https://item.jd.com/1793270.html
三星IG935,69.00,N/A,N/A,"深邃黑,纯净白",N/A,N/A,https://item.jd.com/3103097.html
三星TA200,88.00,N/A,N/A,"Micro 2.0快充套装 白色,Type-C快充套装 黑色,Type-C快充套装 白色",N/A,N/A,https://item.jd.com/4406667.html
三星Level In ANC,299.00,N/A,N/A,"黑色,白色",N/A,N/A,https://item.jd.com/3558038.html
三星EP-NG930BBCGCN,269.00,N/A,N/A,"立式无线充,环形无线充",N/A,N/A,https://item.jd.com/2455670.html
三星MC,69.90,N/A,N/A,"TF卡32GB 升级版+,TF卡64GB 升级版+,TF卡128GB 升级版+,TF卡256GB 升级版+,TF卡32GB 升级版,TF卡64GB 升级版,TF卡128GB 升级版,TF卡32GB 专业版+支持4K,SD卡64GB 专业版+支持4K",N/A,N/A,https://item.jd.com/4864560.html
三星EO-EG920L,69.00,N/A,N/A,"雪岩白,雅墨黑,魔力红,梦幻蓝",N/A,N/A,https://item.jd.com/1592573.html
三星Galaxy S7 edge,3699.00,128GB,3000mAh-3999mAh,N/A,N/A,1200万-1999万,https://item.jd.com/4157994.html
三星Galaxy Folder（SM-G1600）,1499.00,16GB,1200mAh-1999mAh,N/A,N/A,500万-1199万,https://item.jd.com/2366511.html
三星G7108V,699.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/1103264.html
三星Galaxy S9,,128GB,3000mAh-3999mAh,"迷夜黑,夕雾紫",800万-1599万,1200万-1999万,https://item.jd.com/6512214.html
三星Galaxy S9,,64GB,3000mAh-3999mAh,"谜夜黑,夕雾紫,莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/6703001.html
三星Galaxy J3,999.00,32GB,2000mAh-2999mAh,"金,黑,粉,蓝",N/A,N/A,https://item.jd.com/4571445.html
三星（SAMSUNG）Galaxy C9 Pro,2199.00,64GB,4000mAh-5999mAh,"墨玉黑,蔷薇粉,枫叶金",1600万及以上,1200万-1999万,https://item.jd.com/11136949111.html
三星（SAMSUNG） 三星 Galaxy C8（SM-C7100）手机 墨玉黑 全网通(4GB RAM+64GB ROM),1748.00,64GB,2000mAh-2999mAh,"枫叶金,蔷薇粉,墨玉黑",500万-799万,1200万-1999万,https://item.jd.com/16801540662.html
三星（SAMSUNG） Galaxy S7（G9300）手机 铂光金 全网通(4GRAM+32GROM)标配,2488.00,32GB,3000mAh-3999mAh,"雪晶白,星钻黑,钛泽银,铂光金",500万-799万,1200万-1999万,https://item.jd.com/10557763556.html
三星（SAMSUNG）Galaxy J3,905.00,32GB,2000mAh-2999mAh,"流沙金,凝霜蓝,嫣霞粉,雪夜黑",500万-799万,1200万-1999万,https://item.jd.com/14452086044.html
三星（SAMSUNG） Galaxy J3 （SM-J3300）手机 流沙金 全网通（3G+32G）,909.00,32GB,2000mAh-2999mAh,"流沙金,凝霜蓝,嫣霞粉,雪夜黑",500万-799万,1200万-1999万,https://item.jd.com/21947234219.html
三星（SAMSUNG）Galaxy C7 pro,1799.00,64GB,3000mAh-3999mAh,"枫叶金,苍海蓝,蔷薇粉",1600万及以上,1200万-1999万,https://item.jd.com/11250648644.html
三星EO-EG920L,69.00,N/A,N/A,"雪岩白,雅墨黑,魔力红,梦幻蓝",N/A,N/A,https://item.jd.com/1592573.html
三星Galaxy S7 edge,3699.00,128GB,3000mAh-3999mAh,N/A,N/A,1200万-1999万,https://item.jd.com/4157994.html
三星Galaxy Folder（SM-G1600）,1499.00,16GB,1200mAh-1999mAh,N/A,N/A,500万-1199万,https://item.jd.com/2366511.html
三星G7108V,699.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/1103264.html
三星Galaxy S9,,128GB,3000mAh-3999mAh,"迷夜黑,夕雾紫",800万-1599万,1200万-1999万,https://item.jd.com/6512214.html
三星Galaxy S9,,64GB,3000mAh-3999mAh,"谜夜黑,夕雾紫,莱茵蓝",800万-1599万,1200万-1999万,https://item.jd.com/6703001.html
三星（SAMSUNG）Galaxy C9 Pro,2199.00,64GB,4000mAh-5999mAh,"墨玉黑,蔷薇粉,枫叶金",1600万及以上,1200万-1999万,https://item.jd.com/11136949111.html
三星（SAMSUNG） 三星 Galaxy C8（SM-C7100）手机 墨玉黑 全网通(4GB RAM+64GB ROM),1748.00,64GB,2000mAh-2999mAh,"枫叶金,蔷薇粉,墨玉黑",500万-799万,1200万-1999万,https://item.jd.com/16801540662.html
三星（SAMSUNG） Galaxy S7（G9300）手机 铂光金 全网通(4GRAM+32GROM)标配,2488.00,32GB,3000mAh-3999mAh,"雪晶白,星钻黑,钛泽银,铂光金",500万-799万,1200万-1999万,https://item.jd.com/10557763556.html
三星（SAMSUNG）Galaxy J3,905.00,32GB,2000mAh-2999mAh,"流沙金,凝霜蓝,嫣霞粉,雪夜黑",500万-799万,1200万-1999万,https://item.jd.com/14452086044.html
三星（SAMSUNG） Galaxy J3 （SM-J3300）手机 流沙金 全网通（3G+32G）,909.00,32GB,2000mAh-2999mAh,"流沙金,凝霜蓝,嫣霞粉,雪夜黑",500万-799万,1200万-1999万,https://item.jd.com/21947234219.html
三星（SAMSUNG）Galaxy C7 pro,1799.00,64GB,3000mAh-3999mAh,"枫叶金,苍海蓝,蔷薇粉",1600万及以上,1200万-1999万,https://item.jd.com/11250648644.html
三星Galaxy S8,4699.00,64GB,3000mAh-3999mAh,黑色系,800万-1599万,1200万-1999万,https://item.jd.com/6027984.html
三星（SAMSUNG）Galaxy C9 Pro,2286.00,64GB,4000mAh-5999mAh,"蔷薇粉,墨玉黑,枫叶金",1600万及以上,1200万-1999万,https://item.jd.com/14149083337.html
三星（SAMSUNG）Galaxy C7,1739.00,N/A,3000mAh-3999mAh,"墨玉黑,枫叶金,蔷薇粉",1600万及以上,1200万-1999万,https://item.jd.com/16672063146.html
三星（SAMSUNG） Galaxy S7(G9300) 4G手机 铂光金 全网通(4G+32G),2399.00,32GB,3000mAh-3999mAh,"铂光金+倍斯特10000毫安移动电源,铂光金,雪晶白",500万-799万,1200万-1999万,https://item.jd.com/11633379787.html
三星（SAMSUNG） 【现货发售】note 8 双摄镜头 全面曲屏 智能4G手机 深海蓝 6GB+128GB 港版双卡全网通4G,5529.00,64GB,3000mAh-3999mAh,"旷野灰,午夜黑,深海蓝,樱花粉",800万-1599万,N/A,https://item.jd.com/22922746605.html
SAMSUNG 三星 Galaxy C8（SM-C7100）手机 智能手机 枫叶金 全网通C8  4+64GB,1736.00,64GB,3000mAh-3999mAh,"蔷薇粉,枫叶金,墨玉黑",1600万及以上,1200万-1999万,https://item.jd.com/17147636622.html
三星（SAMSUNG） Galaxy S7 (G9300) 全网通4G智能手机 铂光金（4G+32G）,2699.00,32GB,3000mAh-3999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/24203858466.html
三星（SAMSUNG） C5Pro Galaxy（C5010） 碧湖蓝 全网通4G(4G+64G),1688.00,64GB,2000mAh-2999mAh,"碧湖蓝,枫叶金,蔷薇粉,墨玉黑",1600万及以上,1200万-1999万,https://item.jd.com/11693728805.html
三星（SAMSUNG）W2018 ,15988.00,64GB,2000mAh-2999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/12096454138.html
三星（SAMSUNG）Galaxy C7,1598.00,4GB,3000mAh-3999mAh,"烟雨灰,蔷薇粉,枫叶金,皎洁银",800万-1599万,1200万-1999万,https://item.jd.com/11263699823.html
三星（SAMSUNG） Galaxy J3 手机 黑色 全网通(三星J3300) 32G,908.00,32GB,2000mAh-2999mAh,"金色,黑色,粉色,蓝色",500万-799万,1200万-1999万,https://item.jd.com/14276207190.html
三星（SAMSUNG） 领世旗舰8（G9298）手机 黑色 移动联通双4G(4G RAM+64G ROM),11388.00,64GB,2000mAh-2999mAh,N/A,500万-799万,1200万-1999万,https://item.jd.com/16635824783.html
SAMSUNG 三星 Galaxy C9 Pro（C9000）全网通手机 墨玉黑 6G+64G,2248.00,64GB,4000mAh-5999mAh,"蔷薇粉,枫叶金,墨玉黑",1600万及以上,1200万-1999万,https://item.jd.com/14734721427.html
三星（SAMSUNG）Galaxy C7 pro,2899.00,64GB,3000mAh-3999mAh,"蔷薇粉,枫叶金,苍海蓝",1600万及以上,1200万-1999万,https://item.jd.com/11376736984.html
三星（SAMSUNG） Galaxy C7 Pro（C7010）手机 蔷薇粉 全网通4G (4+64G),1834.00,64GB,3000mAh-3999mAh,"沧海蓝,枫叶金,蔷薇粉",1600万及以上,1200万-1999万,https://item.jd.com/11620230247.html
三星 Galaxy J3（J3308） 移动4G手机 双卡双待 雪夜黑(3+32G),1099.00,32GB,2000mAh-2999mAh,"流沙金(3+32G),雪夜黑(3+32G)",500万-799万,1200万-1999万,https://item.jd.com/18850488549.html
三星（SAMSUNG）SM-C7100,1999.00,64GB,3000mAh-3999mAh,"蔷薇粉,墨玉黑,粉色（无货）,枫叶金",1600万及以上,1200万-1999万,https://item.jd.com/16278287611.html
三星（SAMSUNG） 三星 Galaxy J3 （J3300） 全网通4G智能手机 雪夜黑（3G+32G）,948.00,32GB,2000mAh-2999mAh,"流沙金（3G+32G）,雪夜黑（3G+32G）,嫣霞粉（3G+32G）,凝霜蓝（3G+32G）",500万-799万,1200万-1999万,https://item.jd.com/25861334968.html
三星（SAMSUNG）Galaxy S8,3835.00,64GB,1200mAh以下,"【港版S8】枫木金5.8寸【4G+64G】,【港版S8】玫瑰粉5.8寸【4G+64G】,【港版S8】幻紫灰5.8寸【4G+64G】,【港版S8+】星夜黑6.2寸【4G+64G】,【港版S8+】珊瑚蓝6.2寸【4G+64G】,【港版S8+】幻紫灰6.2寸【4G+64G】,【港版S8+】幻夜黑6.2寸【6G+128G】,【港版S8+】珊瑚蓝6.2寸【6G+128G】,【港版S8+】幻紫灰6.2寸【6G+128G】,【港版S8+】玫瑰粉6.2寸【6G+128G】,【港版】S8+勃艮第红 6GB+128GB,【海外版】 水晶银5.8寸【4G+64G】,【秒杀】海外版S8幻紫灰5.8寸【4G+64G】,【海外版S8】珊瑚蓝5.8寸【4G+64G】,【海外版S8+】珊瑚蓝6.2寸【4G+64G】,【海外版S8+】幻夜黑6.2寸【4G+64G】,【海外版S8+】水晶银6.2寸【4G+64G】,【海外版S8+】幻紫灰6.2寸【4G+64G】,【限时秒杀】海外版 幻夜黑5.8寸【4G+64G】",800万-1599万,1200万-1999万,https://item.jd.com/1990288509.html
三星（SAMSUNG）Galaxy A9,2399.00,32GB,4000mAh-5999mAh,N/A,800万-1599万,1200万-1999万,https://item.jd.com/16368700969.html
三星（SAMSUNG）Galaxy C9 Pro,2228.00,64GB,4000mAh-5999mAh,"枫叶金,蔷薇粉,墨玉黑",1600万及以上,1200万-1999万,https://item.jd.com/10843539816.html
SAMSUNG/三星 SCH-E339直板电信学生大声大字单卡老人手机 339电信版 三星E339,199.00,N/A,N/A,N/A,N/A,N/A,https://item.jd.com/20109515573.html
三星Gear IconX 2018升级款,,N/A,N/A,"黑色,灰色,粉色",N/A,N/A,https://item.jd.com/6471478.html
三星（SAMSUNG） Galaxy On5（G5500） 移动联通4G 智能老人机手机 流沙金 8G,799.00,8GB,2000mAh-2999mAh,"流沙金,月莹白",500万-799万,500万-1199万,https://item.jd.com/13018252140.html
三星（SAMSUNG） Galaxy J3（J3300） 手机 雪夜黑 全网通(3GB+32GB),925.00,32GB,2000mAh-2999mAh,"流沙金,嫣霞粉,凝霜蓝,雪夜黑",500万-799万,1200万-1999万,https://item.jd.com/15254685850.html
三星（SAMSUNG） Galaxy C7（SM-C7000）移动联通电信4G手机 枫叶金 全网通(4G+32G),1598.00,32GB,3000mAh-3999mAh,"蔷薇粉,枫叶金,烟雨灰,皎洁银",800万-1599万,1200万-1999万,https://item.jd.com/14506499846.html
SAMSUNGGalaxy S8+,5287.00,64GB,3000mAh-3999mAh,"s8+星夜黑,s8+幻紫灰,s8+珊瑚蓝,s8+瑰丽粉,s8+醇酒红,s8枫木金,s8幻紫灰,s8瑰丽粉",800万-1599万,1200万-1999万,https://item.jd.com/1996266686.html
三星（SAMSUNG）Galaxy C8,1729.00,32GB,3000mAh-3999mAh,"墨玉黑,枫叶金,蔷薇粉",1600万及以上,N/A,https://item.jd.com/21879666460.html
三星（SAMSUNG） Galaxy C5 Pro（C5010） 碧湖蓝 全网通 4G+64G,1688.00,64GB,2000mAh-2999mAh,"碧湖蓝,枫叶金,蔷薇粉,墨玉黑",1600万及以上,1200万-1999万,https://item.jd.com/11539073270.html
三星（SAMSUNG） GALAXY S8/S8+手机 双曲屏 面部识别虹膜 智能手机 幻紫灰 S8（4GB+64GB）港版双卡全网通4G,4099.00,64GB,3000mAh-3999mAh,"枫叶金,幻紫灰,星夜黑,珊瑚蓝,闺蜜粉",800万-1599万,1200万-1999万,https://item.jd.com/23006665972.html
三星（SAMSUNG） 专用补差价链接 请勿单拍,2300.00,8GB以下,6000mAh及以上,N/A,无,无,https://item.jd.com/13037659559.html
三星（SAMSUNG）Galaxy J3,918.00,32GB,2000mAh-2999mAh,"流沙金,凝霜蓝,嫣霞粉,雪夜黑",500万-799万,1200万-1999万,https://item.jd.com/14580944613.html
三星（SAMSUNG） 三星 On5（G5500） 移动联通4G手机 智能老人机手机 月莹白,799.00,8GB,2000mAh-2999mAh,"流沙金,月莹白",500万-799万,500万-1199万,https://item.jd.com/14270350907.html
三星（SAMSUNG） Galaxy J3 （J3300）移动联通电信全网通4G 手机 流沙金 全网通4G (3G+32G),999.00,32GB,2000mAh-2999mAh,"流沙金,雪夜黑",500万-799万,1200万-1999万,https://item.jd.com/25045072389.html
三星（SAMSUNG） 全新 机皇Note 8 双摄 全屏智能4G手机 移动联通电信4G 午夜黑 6GB+64GB 美版 单卡 全网通4G,4299.00,64GB,3000mAh-3999mAh,"深海蓝,旷野灰,午夜黑,枫叶金,樱花粉",800万-1599万,1200万-1999万,https://item.jd.com/18652687097.html
三星（SAMSUNG） Galaxy On5（G5510）手机 流沙金 全网通 2GB+16GB,878.00,2GB,2000mAh-2999mAh,"流沙金,嫣霞粉",800万-1599万,1200万-1999万,https://item.jd.com/18082427524.html
